*file,reg,variable,year,val
SSP1p_20W_BIOD2,USA,NPotSpeciesInRegion,2030,259
SSP1p_20W_BIOD2,BRA,NPotSpeciesInRegion,2030,470
SSP1p_20W_BIOD2,OSA,NPotSpeciesInRegion,2030,794
SSP1p_20W_BIOD2,FSU,NPotSpeciesInRegion,2030,299
SSP1p_20W_BIOD2,EUR,NPotSpeciesInRegion,2030,144
SSP1p_20W_BIOD2,MEN,NPotSpeciesInRegion,2030,233
SSP1p_20W_BIOD2,SSA,NPotSpeciesInRegion,2030,741
SSP1p_20W_BIOD2,CHN,NPotSpeciesInRegion,2030,411
SSP1p_20W_BIOD2,IND,NPotSpeciesInRegion,2030,264
SSP1p_20W_BIOD2,SEA,NPotSpeciesInRegion,2030,611
SSP1p_20W_BIOD2,OAS,NPotSpeciesInRegion,2030,288
SSP1p_20W_BIOD2,ANZ,NPotSpeciesInRegion,2030,185
SSP1p_20W_BIOD2,NAM,NPotSpeciesInRegion,2030,263
SSP1p_20W_BIOD2,OAM,NPotSpeciesInRegion,2030,903
SSP1p_20W_BIOD2,AME,NPotSpeciesInRegion,2030,898
SSP1p_20W_BIOD2,SAS,NPotSpeciesInRegion,2030,819
SSP1p_20W_BIOD2,WLD,NPotSpeciesInRegion,2030,2843
SSP1p_20W_BIOD2,EUE,NPotSpeciesInRegion,2030,139
SSP1p_20W_BIOD2,CAN,ESHI,2040,0.99023393
SSP1p_20W_BIOD2,USA,ESHI,2040,1.374609495
SSP1p_20W_BIOD2,BRA,ESHI,2040,1.093876418
SSP1p_20W_BIOD2,OSA,ESHI,2040,1.204164176
SSP1p_20W_BIOD2,FSU,ESHI,2040,1.176806163
SSP1p_20W_BIOD2,EUR,ESHI,2040,0.94517528
SSP1p_20W_BIOD2,MEN,ESHI,2040,1.140541724
SSP1p_20W_BIOD2,SSA,ESHI,2040,1.373140664
SSP1p_20W_BIOD2,CHN,ESHI,2040,1.539841575
SSP1p_20W_BIOD2,IND,ESHI,2040,1.010333074
SSP1p_20W_BIOD2,SEA,ESHI,2040,1.253764334
SSP1p_20W_BIOD2,OAS,ESHI,2040,1.031313652
SSP1p_20W_BIOD2,ANZ,ESHI,2040,1.635161306
SSP1p_20W_BIOD2,NAM,ESHI,2040,1.298957771
SSP1p_20W_BIOD2,OAM,ESHI,2040,1.167966711
SSP1p_20W_BIOD2,AME,ESHI,2040,1.33271089
SSP1p_20W_BIOD2,SAS,ESHI,2040,1.22839441
SSP1p_20W_BIOD2,WLD,ESHI,2040,1.240709636
SSP1p_20W_BIOD2,EUE,ESHI,2040,0.939528202
SSP1p_20W_BIOD2,CAN,RLI,2040,0.952459016
SSP1p_20W_BIOD2,USA,RLI,2040,0.894980695
SSP1p_20W_BIOD2,BRA,RLI,2040,0.983404255
SSP1p_20W_BIOD2,OSA,RLI,2040,0.970780856
SSP1p_20W_BIOD2,FSU,RLI,2040,0.864882943
SSP1p_20W_BIOD2,EUR,RLI,2040,0.909722222
SSP1p_20W_BIOD2,MEN,RLI,2040,0.880686695
SSP1p_20W_BIOD2,SSA,RLI,2040,0.965991903
SSP1p_20W_BIOD2,CHN,RLI,2040,0.959124088
SSP1p_20W_BIOD2,IND,RLI,2040,0.959848485
SSP1p_20W_BIOD2,SEA,RLI,2040,0.976104746
SSP1p_20W_BIOD2,OAS,RLI,2040,0.956944444
SSP1p_20W_BIOD2,ANZ,RLI,2040,0.927567568
SSP1p_20W_BIOD2,NAM,RLI,2040,0.904942966
SSP1p_20W_BIOD2,OAM,RLI,2040,0.973864895
